"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"full",225.991214831385,2.58464686297645e-43,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int134_2",200.600916338786,2.42959947556429e-54,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int234_1",199.060474201139,5.20629970592527e-55,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int14_2",194.775394787611,7.17039071895021e-57,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int24_1",194.243418149962,4.21219339750769e-57,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"x1",119.028051663615,9.09682172484714e-90,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int34_1",114.164122824253,7.02283117585616e-92,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int13_4",113.832877835969,5.04259812299897e-92,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int14_3",113.510798396797,3.65407144635843e-92,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"x3",42.7240391941559,6.61421215602463e-123,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"x2",39.540333825857,2.74039046453241e-124,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int23_4",37.8505263818945,5.05752920473241e-125,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int34_2",37.3336237954162,3.01613279124551e-125,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int24_3",37.1419859125966,2.49013666692206e-125,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"null",32.1037082150662,1.61483063909503e-127,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"x4",22.8081749042452,1.48295563188647e-131,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
