"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int34_2",147.789323402187,1.21704297962317e-106,43,500,"big",0.7071068,600343,"int12_3","int12_3",1
"x3",147.087821028269,6.03458356286078e-107,43,500,"big",0.7071068,600343,"int12_3","int12_3",1
"int23_4",146.806114480323,4.55306348838872e-107,43,500,"big",0.7071068,600343,"int12_3","int12_3",1
"x4",144.711717408139,5.606845833291e-108,43,500,"big",0.7071068,600343,"int12_3","int12_3",1
"int12_3",385.50050104335,0.99993416320146,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int12",375.872235254679,6.58367985392745e-05,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int12_4",350.798902785738,8.49686601445996e-16,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int124_3",348.72238015019,1.06521297508947e-16,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int123_4",347.276198434763,2.50823202725403e-17,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"full",285.862690950196,5.34343208794213e-44,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int13_2",262.665628595883,4.50260777843329e-54,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"main",262.42051489924,3.5238108738575e-54,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int23_1",262.085476057874,2.5206182210192e-54,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int24",255.694596579525,4.22652438901716e-57,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int34",254.509222659472,1.29176057900025e-57,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int13",253.77438579621,6.19507305476758e-58,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int14",253.385553452587,4.1993172977644e-58,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int23",253.069239454639,3.06059079006706e-58,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int24_1",245.929046931265,2.42582269272077e-61,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int14_2",244.995196153175,9.53438784821658e-62,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int234_1",230.029109689972,3.01719964473694e-68,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int134_2",229.829799604277,2.47197900282427e-68,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"x1",171.459791714303,1.10477144937716e-93,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int34_1",161.579573199519,5.65389919769966e-98,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int13_4",160.258997672148,1.50948706829522e-98,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int14_3",157.655671240588,1.11742682534176e-99,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"x2",119.930956819016,4.61938104885786e-116,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"x3",116.342424726914,1.27674481430586e-117,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"null",116.065172331549,9.67597900100334e-118,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"x4",110.285015286307,2.9881652290348e-120,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int24_3",109.416485364954,1.25373819177387e-120,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int34_2",107.672915510505,2.19272460068961e-121,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int23_4",105.127117462503,1.71932526395342e-122,44,500,"big",0.7071068,600344,"int12_3","int12_3",1
"int12_3",344.714043065202,0.999916349482834,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int12",335.32526374581,8.3650515044963e-05,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int12_4",317.835019429836,2.12105546691947e-12,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int124_3",309.022737849609,3.15810643416798e-16,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int123_4",306.878055365699,3.69830729591193e-17,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"full",246.363141696241,1.93512897066387e-43,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int13_2",228.894157904595,5.01217988911608e-51,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"main",226.116932490785,3.11812109493762e-52,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int23_1",225.82071519438,2.31871536619846e-52,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int14",223.868038183581,3.2901112968893e-53,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int13",219.722682257479,5.21081176647896e-55,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int34",218.134875503941,1.06495111787059e-55,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int24",216.852885242138,2.95507411152605e-56,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int23",216.579255402374,2.24766947566312e-56,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int14_2",210.762038666346,6.68878627407868e-59,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int24_1",203.363600416035,4.09492934196802e-62,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int134_2",199.144277692007,6.02306896582756e-64,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int234_1",194.377412127869,5.12382661816741e-66,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
