"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int123_4",-71.6651621931838,9.32468214603095e-28,4,100,"small",0.1,200104,"int12_3","null",0
"int124_3",-72.5506610777669,3.8465090401795e-28,4,100,"small",0.1,200104,"int12_3","null",0
"int234_1",-90.2706947032694,7.75093214261518e-36,4,100,"small",0.1,200104,"int12_3","null",0
"int134_2",-92.3371462091447,9.8153422745442e-37,4,100,"small",0.1,200104,"int12_3","null",0
"full",-177.172543065749,1.40721586832083e-73,4,100,"small",0.1,200104,"int12_3","null",0
"x1",-12.7222817311006,0.524859496193596,5,100,"small",0.1,200105,"int12_3","x1",0
"null",-12.9431935254187,0.420825730490607,5,100,"small",0.1,200105,"int12_3","x1",0
"int12_3",-14.9914378187646,0.0542701587256589,5,100,"small",0.1,200105,"int12_3","x1",0
"int12_4",-22.1504680740545,4.22117887587952e-05,5,100,"small",0.1,200105,"int12_3","x1",0
"x2",-25.1794745787439,2.04151674044357e-06,5,100,"small",0.1,200105,"int12_3","x1",0
"x3",-27.2589468825961,2.55181742489969e-07,5,100,"small",0.1,200105,"int12_3","x1",0
"x4",-28.3234803261585,8.80093063955741e-08,5,100,"small",0.1,200105,"int12_3","x1",0
"int12",-30.930619449924,6.49026550419351e-09,5,100,"small",0.1,200105,"int12_3","x1",0
"main",-31.385520255134,4.11814423877303e-09,5,100,"small",0.1,200105,"int12_3","x1",0
"int13_2",-31.4987791064154,3.67717128161194e-09,5,100,"small",0.1,200105,"int12_3","x1",0
"int14_2",-32.02503317174,2.17252420100899e-09,5,100,"small",0.1,200105,"int12_3","x1",0
"int23_1",-32.3855461950272,1.51494130329802e-09,5,100,"small",0.1,200105,"int12_3","x1",0
"int24_1",-34.9188646114222,1.20278941417964e-10,5,100,"small",0.1,200105,"int12_3","x1",0
"int14",-41.1180760183511,2.44290338343411e-13,5,100,"small",0.1,200105,"int12_3","x1",0
"int24",-43.7829067082031,1.70053285540963e-14,5,100,"small",0.1,200105,"int12_3","x1",0
"int13",-45.9707476702088,1.9072945601888e-15,5,100,"small",0.1,200105,"int12_3","x1",0
"int23",-46.9704976643415,7.01829896612213e-16,5,100,"small",0.1,200105,"int12_3","x1",0
"int34",-47.3045488130005,5.02522247952863e-16,5,100,"small",0.1,200105,"int12_3","x1",0
"int14_3",-48.3625802485214,1.74444820714389e-16,5,100,"small",0.1,200105,"int12_3","x1",0
"int13_4",-55.9085767049682,9.21453572668142e-20,5,100,"small",0.1,200105,"int12_3","x1",0
"int34_1",-56.0621676092405,7.90259592212811e-20,5,100,"small",0.1,200105,"int12_3","x1",0
"int23_4",-69.0523179028217,1.80392793702046e-25,5,100,"small",0.1,200105,"int12_3","x1",0
"int34_2",-69.432121706027,1.23387876043982e-25,5,100,"small",0.1,200105,"int12_3","x1",0
"int24_3",-69.6750860099288,9.67730506847385e-26,5,100,"small",0.1,200105,"int12_3","x1",0
"int124_3",-74.6311625437049,6.8133036003852e-28,5,100,"small",0.1,200105,"int12_3","x1",0
"int123_4",-78.4428346816342,1.50650148872214e-29,5,100,"small",0.1,200105,"int12_3","x1",0
