"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int14",55.562855645957,2.9940020943682e-08,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int13",54.9872998680165,1.68380347478923e-08,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int23_4",50.7625499181816,2.46323479566388e-10,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int24_3",50.6170570209708,2.12970302798726e-10,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int34_2",49.324342129469,5.8465558718461e-11,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int34_1",43.1101773731244,1.16982969414692e-13,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int14_3",42.4226988709971,5.88239956836987e-14,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int13_4",41.8913288583355,3.45766932243266e-14,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int124_3",38.4133598957217,1.06738409727192e-15,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int123_4",38.3550414453906,1.00691624341302e-15,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int234_1",34.6651934054544,2.51485357696619e-17,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int134_2",33.011377544557,4.81137936876325e-18,4,50,"big",0.7071068,150304,"int12_3","x2",0
"full",-10.3248600620221,7.27077562548648e-37,4,50,"big",0.7071068,150304,"int12_3","x2",0
"null",-12.3863928896012,0.941490060180128,5,50,"big",0.7071068,150305,"int12_3","null",0
"int12_3",-15.8082324464756,0.0307418289499836,5,50,"big",0.7071068,150305,"int12_3","null",0
"x1",-16.0570712965877,0.0239695765779847,5,50,"big",0.7071068,150305,"int12_3","null",0
"int12_4",-18.4830537971107,0.00211870040266817,5,50,"big",0.7071068,150305,"int12_3","null",0
"x3",-19.4788453864941,0.000782713377936919,5,50,"big",0.7071068,150305,"int12_3","null",0
"x4",-19.9349131558613,0.000496060950542707,5,50,"big",0.7071068,150305,"int12_3","null",0
"x2",-20.1726183319443,0.000391111868301033,5,50,"big",0.7071068,150305,"int12_3","null",0
"int12",-23.9628329304284,8.83551176448386e-06,5,50,"big",0.7071068,150305,"int12_3","null",0
"main",-27.1767297239861,3.55184550227638e-07,5,50,"big",0.7071068,150305,"int12_3","null",0
"int13_2",-27.2023965575634,3.46184088276922e-07,5,50,"big",0.7071068,150305,"int12_3","null",0
"int23_1",-27.3087115483762,3.11268439625635e-07,5,50,"big",0.7071068,150305,"int12_3","null",0
"int24_1",-28.9842232718601,5.82732973106975e-08,5,50,"big",0.7071068,150305,"int12_3","null",0
"int14_2",-29.3437202933412,4.06763541637045e-08,5,50,"big",0.7071068,150305,"int12_3","null",0
"int34",-34.4946837125157,2.35671480776736e-10,5,50,"big",0.7071068,150305,"int12_3","null",0
"int24",-35.3234522024798,1.02891014324666e-10,5,50,"big",0.7071068,150305,"int12_3","null",0
"int14",-35.5219093092455,8.43701113462463e-11,5,50,"big",0.7071068,150305,"int12_3","null",0
"int13",-35.5293796391504,8.37421871011552e-11,5,50,"big",0.7071068,150305,"int12_3","null",0
"int23",-35.6402618496798,7.49529563059952e-11,5,50,"big",0.7071068,150305,"int12_3","null",0
"int34_1",-37.9435848407668,7.48976690631577e-12,5,50,"big",0.7071068,150305,"int12_3","null",0
"int14_3",-39.1085299325778,2.33635631299417e-12,5,50,"big",0.7071068,150305,"int12_3","null",0
"int13_4",-39.1301760860044,2.28632661450926e-12,5,50,"big",0.7071068,150305,"int12_3","null",0
"int34_2",-42.0781769924048,1.19905124839767e-13,5,50,"big",0.7071068,150305,"int12_3","null",0
"int24_3",-42.8564599802883,5.50596870474988e-14,5,50,"big",0.7071068,150305,"int12_3","null",0
"int23_4",-43.0839984183622,4.38545895356189e-14,5,50,"big",0.7071068,150305,"int12_3","null",0
"int124_3",-46.41909768198,1.56170803129722e-15,5,50,"big",0.7071068,150305,"int12_3","null",0
"int123_4",-49.1365214390485,1.03142511226827e-16,5,50,"big",0.7071068,150305,"int12_3","null",0
"int134_2",-56.552176279224,6.20668527866979e-20,5,50,"big",0.7071068,150305,"int12_3","null",0
"int234_1",-57.9386357164662,1.55141519692339e-20,5,50,"big",0.7071068,150305,"int12_3","null",0
"full",-100.082570636845,7.72413151448458e-39,5,50,"big",0.7071068,150305,"int12_3","null",0
"null",-2.30619547738866,0.99621502140993,6,50,"big",0.7071068,150306,"int12_3","null",0
"x3",-8.66871206181231,0.0017184909220531,6,50,"big",0.7071068,150306,"int12_3","null",0
"x4",-8.81136710138698,0.00149002290934159,6,50,"big",0.7071068,150306,"int12_3","null",0
